spec	Fold_0
nist_1128561	train
nist_1128572	train
nist_1129114	train
nist_1129125	train
nist_1129131	train
nist_1129613	train
nist_1129619	train
nist_1129624	train
nist_1129631	train
nist_1129881	train
nist_1129894	train
nist_1129905	train
nist_1129924	train
nist_1129934	train
nist_1129977	train
nist_1129995	train
nist_1132880	train
nist_1132889	train
nist_1132898	train
nist_1132904	train
nist_1132909	train
nist_1132921	train
nist_1132931	train
nist_1133183	train
nist_1133197	train
nist_1133224	train
nist_1133226	train
nist_1133598	train
nist_1133604	train
nist_1133642	train
nist_1133658	train
nist_1133666	train
nist_1133677	train
nist_1133750	train
nist_1133759	train
nist_1133766	train
nist_1133771	train
nist_1134075	train
nist_1134087	train
nist_1134976	train
nist_1134982	train
nist_1134993	train
nist_1135117	train
nist_1135130	train
nist_1135138	train
nist_1135141	train
nist_1135202	train
nist_1135215	train
nist_1135223	train
nist_1135226	train
nist_1135887	train
nist_1135898	train
nist_1135912	train
nist_1135922	train
nist_1136071	train
nist_1136082	train
nist_1136091	train
nist_1136101	train
nist_1136107	train
nist_1136118	train
nist_1136126	train
nist_1136136	train
nist_1139261	train
nist_1139273	train
nist_1139281	train
nist_1139293	train
nist_1139343	train
nist_1139356	train
nist_1139368	train
nist_1139379	train
nist_1139942	train
nist_1139954	train
nist_1140834	train
nist_1140845	train
nist_1140852	train
nist_1142596	train
nist_1142609	train
nist_1142617	train
nist_1142628	train
nist_1143289	train
nist_1143304	train
nist_1143310	train
nist_1143322	train
nist_1143332	train
nist_1144725	train
nist_1144740	train
nist_1144963	train
nist_1144979	train
nist_1144987	train
nist_1145000	train
nist_1146249	train
nist_1146264	train
nist_1146271	train
nist_1146285	train
nist_1146324	train
nist_1146348	train
nist_1146366	train
nist_1146389	train
nist_1146395	train
nist_1146408	train
nist_1146800	train
nist_1146812	train
nist_1147217	train
nist_1147231	train
nist_1147237	train
nist_1147243	train
nist_1148307	train
nist_1148321	train
nist_1148330	train
nist_1148377	train
nist_1148384	train
nist_1148394	train
nist_1148402	train
nist_1148416	train
nist_1148420	train
nist_1148440	train
nist_1148842	train
nist_1148855	train
nist_1148868	train
nist_1148882	train
nist_1148913	train
nist_1148927	train
nist_1148938	train
nist_1149495	train
nist_1149506	train
nist_1149513	train
nist_1149523	train
nist_1150754	train
nist_1150764	train
nist_1150768	train
nist_1150774	train
nist_1152314	train
nist_1152319	train
nist_1152346	train
nist_1152356	train
nist_1152408	train
nist_1152423	train
nist_1152432	train
nist_1152943	train
nist_1152957	train
nist_1153138	train
nist_1153155	train
nist_1153161	train
nist_1153165	train
nist_1153189	train
nist_1153751	train
nist_1153761	train
nist_1153769	train
nist_1153775	train
nist_1153831	train
nist_1153844	train
nist_1153855	train
nist_1153871	train
nist_1153877	train
nist_1153891	train
nist_1154281	train
nist_1154293	train
nist_1154301	train
nist_1154315	train
nist_1154780	train
nist_1154790	train
nist_1154798	train
nist_1154806	train
nist_1155430	train
nist_1155449	train
nist_1155457	train
nist_1155462	train
nist_1155851	train
nist_1155861	train
nist_1155871	train
nist_1155875	train
nist_1156039	train
nist_1156050	train
nist_1156057	train
nist_1156064	train
nist_1156770	train
nist_1156782	train
nist_1156793	train
nist_1156798	train
nist_1156809	train
nist_1156818	train
nist_1156822	train
nist_1156844	train
nist_1156853	train
nist_1156875	train
nist_1156878	train
nist_1156895	train
nist_1156903	train
nist_1156912	train
nist_1156917	train
nist_1157306	train
nist_1157316	train
nist_1157530	train
nist_1157533	train
nist_1157541	train
nist_1157549	train
nist_1157564	train
nist_1157572	train
nist_1157617	train
nist_1157631	train
nist_1157692	train
nist_1157702	train
nist_1157725	train
nist_1157735	train
nist_1157892	train
nist_1157909	train
nist_1157913	train
nist_1157927	train
nist_1158018	train
nist_1158025	train
nist_1158040	train
nist_1158243	train
nist_1158254	train
nist_1158259	train
nist_1158265	train
nist_1158560	train
nist_1158571	train
nist_1158579	train
nist_1158584	train
nist_1158749	train
nist_1158757	train
nist_1158764	train
nist_1158772	train
nist_1158779	train
nist_1158788	train
nist_1158795	train
nist_1158805	train
nist_1158812	train
nist_1158823	train
nist_1158830	train
nist_1158834	train
nist_1158888	train
nist_1158901	train
nist_1158904	train
nist_1158910	train
nist_1159209	train
nist_1159223	train
nist_1159227	train
nist_1159239	train
nist_1159243	train
nist_1159256	train
nist_1159264	train
nist_1159274	train
nist_1159347	train
nist_1159357	train
nist_1159365	train
nist_1159373	train
nist_1159856	train
nist_1159862	train
nist_1159882	train
nist_1159892	train
nist_1160521	train
nist_1160533	train
nist_1160540	train
nist_1160550	train
nist_1162864	train
nist_1162874	train
nist_1162878	train
nist_1162887	train
nist_1162938	train
nist_1162954	train
nist_1162976	train
nist_1162985	train
nist_1163408	train
nist_1163421	train
nist_1163428	train
nist_1163438	train
nist_1163445	train
nist_1163457	train
nist_1163466	train
nist_1163480	train
nist_1163808	train
nist_1165587	train
nist_1165590	train
nist_1165592	train
nist_1165601	train
nist_1165603	train
nist_1165606	train
nist_1165608	train
nist_1165618	train
nist_1165748	train
nist_1165760	train
nist_1166112	train
nist_1166127	train
nist_1166144	train
nist_1166151	train
nist_1166408	train
nist_1166426	train
nist_1166450	train
nist_1166457	train
nist_1166699	train
nist_1166710	train
nist_1166720	train
nist_1166723	train
nist_1166733	train
nist_1166754	train
nist_1166761	train
nist_1166770	train
nist_1167010	train
nist_1167024	train
nist_1167030	train
nist_1167044	train
nist_1167122	train
nist_1167133	train
nist_1167444	train
nist_1167456	train
nist_1167466	train
nist_1167510	train
nist_1167524	train
nist_1167532	train
nist_1167543	train
nist_1167754	train
nist_1167769	train
nist_1167777	train
nist_1167787	train
nist_1168147	train
nist_1168157	train
nist_1168176	train
nist_1168191	train
nist_1168437	train
nist_1168450	train
nist_1168458	train
nist_1168460	train
nist_1168509	train
nist_1168530	train
nist_1168540	train
nist_1168549	train
nist_1168555	train
nist_1168574	train
nist_1168585	train
nist_1168598	train
nist_1169445	train
nist_1169470	train
nist_1169490	train
nist_1169501	train
nist_1169579	train
nist_1169589	train
nist_1169598	train
nist_1169608	train
nist_1169894	train
nist_1169909	train
nist_1169916	train
nist_1169930	train
nist_1169933	train
nist_1169944	train
nist_1169952	train
nist_1169964	train
nist_1170008	train
nist_1170021	train
nist_1170028	train
nist_1170039	train
nist_1170047	train
nist_1170062	train
nist_1170071	train
nist_1170080	train
nist_1170091	train
nist_1170105	train
nist_1170114	train
nist_1170119	train
nist_1171191	train
nist_1171201	train
nist_1171247	train
nist_1171256	train
nist_1171263	train
nist_1171273	train
nist_1171280	train
nist_1171294	train
nist_1171301	train
nist_1171309	train
nist_1171499	train
nist_1171508	train
nist_1171824	train
nist_1171836	train
nist_1171844	train
nist_1171855	train
nist_1171985	train
nist_1172000	train
nist_1172009	train
nist_1172022	train
nist_1172603	train
nist_1172612	train
nist_1172661	train
nist_1172670	train
nist_1172883	train
nist_1172892	train
nist_1172897	train
nist_1172907	train
nist_1173283	train
nist_1173292	train
nist_1173296	train
nist_1173303	train
nist_1174386	train
nist_1174389	train
nist_1174394	train
nist_1174401	train
nist_1174406	train
nist_1174418	train
nist_1174423	train
nist_1174424	train
nist_1174431	train
nist_1174445	train
nist_1174452	train
nist_1174460	train
nist_1175114	train
nist_1175126	train
nist_1175155	train
nist_1175159	train
nist_1175858	train
nist_1175860	train
nist_1175885	train
nist_1175921	train
nist_1175932	train
nist_1175979	train
nist_1175990	train
nist_1175995	train
nist_1175996	train
nist_1176028	train
nist_1176037	train
nist_1176078	train
nist_1176087	train
nist_1177150	train
nist_1177155	train
nist_1177160	train
nist_1177166	train
nist_1177216	train
nist_1177229	train
nist_1177236	train
nist_1177836	train
nist_1177850	train
nist_1177856	train
nist_1177867	train
nist_1177996	train
nist_1178009	train
nist_1178015	train
nist_1178133	train
nist_1178143	train
nist_1178230	train
nist_1178240	train
nist_1178608	train
nist_1178618	train
nist_1180071	train
nist_1180083	train
nist_1180923	train
nist_1180944	train
nist_1181021	train
nist_1181032	train
nist_1181037	train
nist_1181039	train
nist_1181049	train
nist_1181060	train
nist_1181067	train
nist_1181069	train
nist_1181111	train
nist_1181123	train
nist_1181454	train
nist_1181466	train
nist_1181472	train
nist_1181487	train
nist_1181695	train
nist_1181705	train
nist_1181716	train
nist_1181781	train
nist_1181796	train
nist_1182348	train
nist_1182358	train
nist_1182366	train
nist_1182377	train
nist_1182964	train
nist_1182975	train
nist_1182982	train
nist_1182990	train
nist_1183041	train
nist_1183053	train
nist_1183092	train
nist_1183102	train
nist_1183328	train
nist_1183339	train
nist_1183347	train
nist_1183354	train
nist_1183437	train
nist_1183449	train
nist_1183455	train
nist_1183465	train
nist_1183552	train
nist_1183564	train
nist_1183569	train
nist_1183760	train
nist_1183770	train
nist_1183778	train
nist_1183788	train
nist_1184509	train
nist_1184512	train
nist_1184518	train
nist_1185386	train
nist_1185399	train
nist_1185407	train
nist_1185410	train
nist_1185859	train
nist_1185868	train
nist_1185875	train
nist_1185883	train
nist_1186105	train
nist_1186115	train
nist_1186342	train
nist_1186353	train
nist_1186539	train
nist_1186546	train
nist_1186557	train
nist_1186610	train
nist_1186621	train
nist_1186634	train
nist_1186645	train
nist_1186692	train
nist_1186720	train
nist_1186727	train
nist_1186732	train
nist_1187486	train
nist_1187491	train
nist_1187499	train
nist_1188637	train
nist_1188648	train
nist_1188668	train
nist_1189484	train
nist_1189496	train
nist_1189502	train
nist_1189504	train
nist_1189889	train
nist_1189901	train
nist_1190339	train
nist_1190349	train
nist_1190359	train
nist_1190507	train
nist_1191531	train
nist_1191546	train
nist_1191550	train
nist_1191558	train
nist_1191616	train
nist_1191629	train
nist_1191654	train
nist_1191658	train
nist_1191672	train
nist_1191679	train
nist_1191685	train
nist_1191692	train
nist_1191696	train
nist_1191708	train
nist_1193719	train
nist_1193732	train
nist_1193741	train
nist_1193827	train
nist_1193833	train
nist_1193843	train
nist_1193849	train
nist_1193858	train
nist_1193864	train
nist_1193871	train
nist_1193878	train
nist_1193886	train
nist_1193899	train
nist_1193977	train
nist_1193985	train
nist_1193992	train
nist_1193999	train
nist_1194163	train
nist_1194172	train
nist_1194253	train
nist_1194260	train
nist_1194312	train
nist_1194319	train
nist_1194458	train
nist_1194470	train
nist_1194526	train
nist_1194533	train
nist_1194572	train
nist_1194579	train
nist_1194587	train
nist_1194594	train
nist_1194623	train
nist_1194633	train
nist_1194659	train
nist_1194665	train
nist_1194695	train
nist_1194709	train
nist_1194716	train
nist_1194729	train
nist_1194750	train
nist_1194760	train
nist_1194773	train
nist_1194783	train
nist_1194930	train
nist_1194935	train
nist_1194943	train
nist_1194952	train
nist_1194972	train
nist_1194982	train
nist_1194991	train
nist_1194997	train
nist_1195031	train
nist_1195034	train
nist_1195041	train
nist_1195045	train
nist_1195050	train
nist_1195057	train
nist_1195160	train
nist_1195164	train
nist_1195174	train
nist_1195179	train
nist_1195217	train
nist_1195223	train
nist_1195271	train
nist_1195285	train
nist_1195307	train
nist_1195318	train
nist_1195330	train
nist_1195336	train
nist_1195345	train
nist_1195351	train
nist_1195373	train
nist_1195380	train
nist_1195405	train
nist_1195412	train
nist_1195438	train
nist_1195445	train
nist_1195525	train
nist_1195535	train
nist_1195545	train
nist_1195552	train
nist_1195561	train
nist_1195569	train
nist_1195659	train
nist_1195663	train
nist_1195689	train
nist_1195699	train
nist_1195707	train
nist_1195719	train
nist_1195756	train
nist_1195764	train
nist_1195770	train
nist_1195773	train
nist_1195799	train
nist_1195809	train
nist_1195838	train
nist_1195845	train
nist_1195909	train
nist_1195914	train
nist_1195931	train
nist_1195936	train
nist_1195942	train
nist_1195947	train
nist_1195954	train
nist_1195958	train
nist_1195970	train
nist_1195973	train
nist_1195985	train
nist_1195990	train
nist_1196107	train
nist_1196113	train
nist_1196153	train
nist_1196159	train
nist_1196319	train
nist_1196325	train
nist_1196357	train
nist_1196365	train
nist_1196371	train
nist_1196379	train
nist_1196443	train
nist_1196449	train
nist_1196454	train
nist_1196464	train
nist_1196583	train
nist_1196587	train
nist_1196593	train
nist_1196627	train
nist_1196711	train
nist_1196716	train
nist_1196768	train
nist_1196772	train
nist_1196776	train
nist_1196781	train
nist_1196789	train
nist_1196792	train
nist_1196856	train
nist_1196863	train
nist_1196947	train
nist_1196951	train
nist_1196953	train
nist_1196963	train
nist_1196973	train
nist_1196981	train
nist_1197009	train
nist_1197015	train
nist_1197017	train
nist_1197027	train
nist_1197029	train
nist_1197034	train
nist_1197036	train
nist_1197046	train
nist_1197280	train
nist_1197289	train
nist_1197301	train
nist_1197309	train
nist_1197316	train
nist_1197323	train
nist_1197325	train
nist_1197333	train
nist_1197418	train
nist_1197432	train
nist_1198936	train
nist_1198951	train
nist_1198971	train
nist_1198986	train
nist_1198994	train
nist_1199004	train
nist_1199403	train
nist_1199415	train
nist_1199421	train
nist_1199438	train
nist_1199833	train
nist_1199839	train
nist_1199847	train
nist_1199862	train
nist_1200589	train
nist_1200603	train
nist_1200611	train
nist_1200617	train
nist_1200639	train
nist_1200664	train
nist_1200670	train
nist_1200676	train
nist_1201096	train
nist_1201103	train
nist_1201121	train
nist_1201135	train
nist_1201159	train
nist_1201173	train
nist_1201270	train
nist_1201288	train
nist_1201295	train
nist_1201296	train
nist_1201305	train
nist_1201320	train
nist_1201328	train
nist_1201330	train
nist_1201395	train
nist_1201408	train
nist_1201416	train
nist_1201423	train
nist_1201493	train
nist_1201508	train
nist_1201515	train
nist_1201522	train
nist_1201583	train
nist_1201590	train
nist_1201593	train
nist_1201742	train
nist_1201756	train
nist_1201763	train
nist_1201779	train
nist_1201825	train
nist_1201831	train
nist_1201833	train
nist_1202062	train
nist_1202071	train
nist_1202086	train
nist_1202411	train
nist_1202416	train
nist_1202423	train
nist_1202431	train
nist_1202447	train
nist_1202473	train
nist_1202480	train
nist_1202497	train
nist_1202503	train
nist_1202505	train
nist_1202652	train
nist_1202668	train
nist_1205093	train
nist_1205103	train
nist_1205110	train
nist_1205192	train
nist_1205195	train
nist_1205204	train
nist_1205207	train
nist_1205244	train
nist_1205262	train
nist_1205274	train
nist_1205484	train
nist_1205496	train
nist_1205946	train
nist_1205964	train
nist_1205972	train
nist_1205973	train
nist_1205977	train
nist_1205991	train
nist_1206000	train
nist_1206174	train
nist_1206178	train
nist_1206183	train
nist_1206189	train
nist_1206373	train
nist_1206389	train
nist_1206396	train
nist_1206406	train
nist_1206948	train
nist_1206960	train
nist_1206969	train
nist_1207681	train
nist_1207698	train
nist_1207766	train
nist_1207814	train
nist_1207852	train
nist_1207861	train
nist_1207870	train
nist_1207879	train
nist_1207884	train
nist_1207892	train
nist_1207908	train
nist_1207916	train
nist_1207919	train
nist_1207928	train
nist_1207933	train
nist_1207943	train
nist_1207952	train
nist_1208206	train
nist_1208259	train
nist_1208271	train
nist_1208306	train
nist_1208319	train
nist_1208320	train
nist_1208330	train
nist_1208455	train
nist_1208463	train
nist_1208536	train
nist_1208546	train
nist_1208573	train
nist_1208583	train
nist_1208678	train
nist_1208688	train
nist_1208695	train
nist_1208703	train
nist_1208725	train
nist_1208769	train
nist_1208967	train
nist_1208977	train
nist_1209186	train
nist_1209199	train
nist_1209282	train
nist_1209291	train
nist_1209298	train
nist_1209308	train
nist_1209436	train
nist_1209446	train
nist_1209500	train
nist_1209509	train
nist_1209549	train
nist_1209558	train
nist_1209565	train
nist_1209575	train
nist_1209652	train
nist_1209662	train
nist_1209665	train
nist_1209675	train
nist_1209953	train
nist_1209962	train
nist_1210103	train
nist_1210113	train
nist_1210339	train
nist_1210348	train
nist_1210449	train
nist_1210458	train
nist_1210460	train
nist_1210470	train
nist_1210478	train
nist_1210487	train
nist_1210591	train
nist_1210600	train
nist_1210965	train
nist_1210998	train
nist_1211062	train
nist_1211078	train
nist_1211101	train
nist_1211120	train
nist_1211129	train
nist_1211140	train
nist_1211198	train
nist_1211213	train
nist_1211672	train
nist_1211693	train
nist_1211830	train
nist_1211848	train
nist_1212774	train
nist_1212780	train
nist_1212784	train
nist_1212787	train
nist_1213118	train
nist_1213138	train
nist_1213508	train
nist_1213547	train
nist_1213566	train
nist_1213899	train
nist_1213918	train
nist_1213926	train
nist_1213939	train
nist_1215716	train
nist_1215736	train
nist_1215744	train
nist_1216276	train
nist_1216295	train
nist_1216338	train
nist_1216348	train
nist_1216353	train
nist_1216372	train
nist_1216764	train
nist_1216791	train
nist_1216811	train
nist_1216822	train
nist_1216830	train
nist_1216833	train
nist_1216846	train
nist_1216931	train
nist_1216946	train
nist_1216954	train
nist_1216969	train
nist_1216976	train
nist_1216991	train
nist_1216999	train
nist_1217003	train
nist_1217009	train
nist_1217013	train
nist_1217661	train
nist_1217670	train
nist_1217675	train
nist_1217681	train
nist_1217686	train
nist_1217707	train
nist_1217713	train
nist_1217733	train
nist_1217843	train
nist_1217862	train
nist_1217869	train
nist_1217881	train
nist_1218265	train
nist_1218284	train
nist_1218292	train
nist_1218311	train
nist_1218888	train
nist_1218908	train
nist_1218914	train
nist_1218918	train
nist_1218968	train
nist_1218986	train
nist_1218996	train
nist_1219016	train
nist_1219873	train
nist_1219890	train
nist_1220125	train
nist_1220143	train
nist_1220349	train
nist_1220362	train
nist_1220369	train
nist_1220377	train
nist_1220483	train
nist_1220495	train
nist_1220514	train
nist_1220521	train
nist_1220534	train
nist_1220542	train
nist_1220553	train
nist_1220558	train
nist_1220882	train
nist_1220898	train
nist_1220906	train
nist_1220915	train
nist_1221125	train
nist_1221138	train
nist_1221144	train
nist_1221153	train
nist_1221713	train
nist_1221727	train
nist_1221735	train
nist_1221741	train
nist_1221755	train
nist_1221763	train
nist_1221983	train
nist_1221997	train
nist_1222009	train
nist_1222067	train
nist_1222081	train
nist_1222091	train
nist_1222154	train
nist_1222168	train
nist_1222178	train
nist_1222181	train
nist_1222382	train
nist_1222394	train
nist_1222439	train
nist_1222453	train
nist_1222458	train
nist_1222464	train
nist_1222472	train
nist_1222484	train
nist_1222490	train
nist_1222501	train
nist_1222509	train
nist_1222518	train
nist_1222542	train
nist_1222550	train
nist_1222567	train
nist_1222576	train
nist_1222652	train
nist_1222663	train
nist_1222760	train
nist_1222772	train
nist_1222781	train
nist_1222793	train
nist_1223054	train
nist_1223063	train
nist_1223125	train
nist_1223137	train
nist_1223330	train
nist_1223340	train
nist_1223369	train
nist_1223383	train
nist_1223388	train
nist_1223394	train
nist_1223398	train
nist_1223413	train
nist_1223417	train
nist_1223422	train
nist_1223584	train
nist_1223597	train
nist_1224010	train
nist_1224021	train
nist_1224031	train
nist_1224034	train
nist_1224044	train
nist_1224120	train
nist_1224130	train
nist_1224179	train
nist_1224191	train
nist_1224199	train
nist_1224213	train
nist_1224242	train
nist_1224257	train
nist_1224285	train
nist_1224299	train
nist_1224325	train
nist_1224335	train
nist_1224366	train
nist_1224377	train
nist_1224385	train
nist_1224399	train
nist_1224426	train
nist_1224435	train
nist_1224695	train
nist_1224708	train
nist_1224715	train
nist_1224728	train
nist_1224820	train
nist_1224830	train
nist_1224842	train
nist_1224852	train
nist_1224999	train
nist_1225008	train
nist_1225075	train
nist_1225084	train
nist_1225089	train
nist_1225099	train
nist_1225255	train
nist_1225264	train
nist_1225271	train
nist_1225280	train
nist_1225331	train
nist_1225340	train
nist_1225433	train
nist_1225444	train
nist_1225497	train
nist_1225507	train
nist_1225514	train
nist_1225524	train
nist_1225555	train
nist_1225563	train
nist_1225684	train
nist_1225697	train
nist_1225705	train
nist_1225719	train
nist_1225771	train
nist_1225784	train
nist_1225814	train
nist_1225827	train
nist_1225968	train
nist_1225981	train
nist_1225993	train
nist_1226005	train
nist_1226040	train
nist_1226050	train
nist_1226058	train
nist_1226068	train
nist_1226071	train
nist_1226129	train
nist_1226150	train
nist_1226158	train
nist_1226193	train
nist_1226525	train
nist_1226546	train
nist_1226576	train
nist_1226596	train
nist_1226967	train
nist_1226988	train
nist_1227364	train
nist_1227382	train
nist_1227657	train
nist_1227676	train
nist_1228804	train
nist_1228823	train
nist_1228966	train
nist_1228983	train
nist_1229025	train
nist_1229045	train
nist_1236279	train
nist_1236292	train
nist_1236791	train
nist_1236810	train
nist_1237126	train
nist_1237145	train
nist_1237147	train
nist_1237152	train
nist_1237156	train
nist_1237157	train
nist_1237159	train
nist_1238671	train
nist_1238684	train
nist_1238712	train
nist_1238721	train
nist_1238863	train
nist_1238870	train
nist_1238877	train
nist_1238884	train
nist_1238929	train
nist_1238943	train
nist_1238949	train
nist_1238951	train
nist_1239671	train
nist_1240577	train
nist_1240590	train
nist_1240933	train
nist_1240945	train
nist_1241129	train
nist_1241142	train
nist_1241148	train
nist_1241158	train
nist_1241844	train
nist_1241859	train
nist_1241866	train
nist_1241878	train
nist_1241965	train
nist_1241982	train
nist_1244365	train
nist_1244377	train
nist_1244386	train
nist_1244388	train
nist_1244632	train
nist_1244645	train
nist_1244654	train
nist_1244661	train
nist_1245242	train
nist_1245258	train
nist_1245265	train
nist_1245278	train
nist_1245891	train
nist_1245926	train
nist_1245933	train
nist_1247071	train
nist_1247083	train
nist_1247090	train
nist_1247100	train
nist_1247109	train
nist_1247115	train
nist_1247577	train
nist_1247590	train
nist_1247596	train
nist_1247633	train
nist_1247650	train
nist_1247655	train
nist_1247661	train
nist_1248205	train
nist_1248221	train
nist_1248226	train
nist_1248240	train
nist_1248946	train
nist_1248954	train
nist_1248962	train
nist_1249167	train
nist_1249183	train
nist_1249975	train
nist_1249992	train
nist_1250020	train
nist_1250025	train
nist_1250431	train
nist_1250447	train
nist_1250673	train
nist_1250683	train
nist_1251338	train
nist_1251353	train
nist_1251360	train
nist_1251376	train
nist_1252377	train
nist_1252390	train
nist_1252398	train
nist_1252407	train
nist_1253038	train
nist_1253047	train
nist_1253375	train
nist_1253391	train
nist_1253552	train
nist_1253559	train
nist_1254074	train
nist_1254077	train
nist_1254085	train
nist_1254845	train
nist_1254861	train
nist_1254887	train
nist_1254903	train
nist_1255502	train
nist_1255514	train
nist_1255621	train
nist_1255636	train
nist_1255749	train
nist_1255763	train
nist_1255769	train
nist_1255785	train
nist_1257857	train
nist_1257868	train
nist_1257884	train
nist_1257901	train
nist_1259820	train
nist_1259831	train
nist_1259910	train
nist_1259918	train
nist_1259920	train
nist_1259932	train
nist_1260603	train
nist_1260612	train
nist_1260617	train
nist_1260619	train
nist_1260837	train
nist_1260843	train
nist_1260865	train
nist_1260877	train
nist_1261558	train
nist_1261574	train
nist_1261614	train
nist_1261622	train
nist_1262333	train
nist_1262347	train
nist_1262368	train
nist_1262378	train
nist_1263473	train
nist_1263484	train
nist_1263505	train
nist_1263516	train
nist_1263530	train
nist_1263579	train
nist_1263954	train
nist_1263965	train
nist_1264761	train
nist_1264777	train
nist_1264782	train
nist_1264793	train
nist_1264944	train
nist_1264960	train
nist_1264965	train
nist_1264989	train
nist_1265012	train
nist_1265024	train
nist_1265030	train
nist_1265219	train
nist_1265233	train
nist_1265235	train
